IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,CONNECTEDAIRPORT
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,"BNA, BOS, BWI, CHS, CLE, CMH, DCA, DFW, DTW, EWR, IAD, FLL, IAH, IND, JAX, JFK, LIT, MCI, MCO, MIA, MSY, ORD, ORF, PHL, PHX, PIT, RDU, RIC, RSW, SAT, SDF, SEA, SFO, SJU, SLC, TPA, AGS, BTR, EYW, GRB, GSO, GSP, HSV, JAN, LEX, PNS, SAV, STT, XNA"
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,ATL
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,ATL
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,ATL
CHS,Charleston AFB International,Charleston,SC,USA,32.89864639,-80.04050583,ATL
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,ATL
CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,ATL
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,ATL
DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,ATL
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,ATL
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,"ANC, ATL"
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,ATL
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,ATL
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,ATL
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,ATL
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,
HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889,
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,ATL
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,ATL
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,ATL
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,ATL
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,"ABQ, ATL"
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,"ABQ, ATL"
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,ABQ
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,ATL
LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556,ABQ
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,ATL
